"","country","date","update","cases","new_cases","deaths","new_deaths","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million","weeks_since_case100","weeks_since_death10"
"105","Mainland China",2022-05-01,120,217452,16590,5092,367,151.1,11.5,3.5,0.3,119,119
"106","Malawi",2022-05-01,120,85781,34,2634,1,4484.1,1.8,137.7,0.1,100,97
"107","Malaysia",2022-05-01,120,4449507,18434,35550,51,137474.7,569.5,1098.4,1.6,111,110
"108","Maldives",2022-05-01,120,179171,288,298,0,331184.8,532.3,550.8,0,105,95
"109","Mali",2022-05-01,120,30843,103,732,1,1523,5.1,36.1,0,107,106
"110","Malta",2022-05-01,120,91861,1266,698,10,207830.3,2864.3,1579.2,22.6,109,88
"111","Marshall Islands",2022-05-01,120,17,2,0,0,288.1,33.9,0,0,0,0
"112","Mauritania",2022-05-01,120,58688,5,982,0,12621.1,1.1,211.2,0,101,100
"113","Mauritius",2022-05-01,120,220344,0,990,0,173226.4,0,778.3,0,109,104
"114","Mexico",2022-05-01,120,5739680,5895,324334,205,44516.8,45.7,2515.5,1.6,110,109
"115","Micronesia, Federated States of",2022-05-01,120,5,4,0,0,43.5,34.8,0,0,0,0
"116","Moldova, Republic of",2022-05-01,120,516986,0,11489,0,128157.2,0,2848,0,109,108
"117","Monaco",2022-05-01,120,11770,166,57,1,301794.9,4256.4,1461.5,25.6,97,65
"118","Mongolia",2022-05-01,120,920671,310,2179,2,280863.6,94.6,664.7,0.6,102,56
"119","Montenegro",2022-05-01,120,235292,585,2715,2,374668.8,931.5,4323.2,3.2,108,96
"120","Morocco",2022-05-01,120,1164973,273,16069,4,31561.7,7.4,435.3,0.1,110,109
"121","Mozambique",2022-05-01,120,225386,21,2201,0,7211.2,0.7,70.4,0,102,93
"122","MS Zaandam Cruise Ship",2022-05-01,120,9,0,2,0,NA,NA,NA,NA,0,0
"123","Namibia",2022-05-01,120,158811,453,4025,0,62499.4,178.3,1584,0,96,91
"124","Nepal",2022-05-01,120,978828,85,11951,0,33594,2.9,410.2,0,103,99
